zone,site,depth,genus,Healthy,Bleached,0%,30%,60%,100%
NE,AYT,s,Acropora,0,0,0,0,0,0
NE,AYT,s,Cyphastrea,0,0,0,0,0,0
NE,AYT,s,Dipsastraea,2.3,0,4,1,0,3
NE,AYT,s,Duncanopsammia,0,0,0,0,0,0
NE,AYT,s,Favites,3.7,4.5,12,4,6,5
NE,AYT,s,Galaxea,0,0,0,0,0,0
NE,AYT,s,Goniopora,0,2.4,0,0,0,7
NE,AYT,s,Hydnophora,0,0,0,0,0,0
NE,AYT,s,Leptastrea,0,3.5,1,0,2,13
NE,AYT,s,Lithophyllon,14.7,0,33,0,0,4
NE,AYT,s,Montipora,0,0,0,0,0,0
NE,AYT,s,Pavona,46.8,5.3,121,12,2,3
NE,AYT,s,Platygyra,0,0,0,3,0,0
NE,AYT,s,Pleasiatrea,0,0,0,0,0,0
NE,AYT,s,Porites,6.4,10.4,0,2,32,43
NE,AYT,s,Psammocora,0,0,0,0,0,0
NE,AYT,s,Stylocoeniella,0,0,0,0,0,0
NE,CI,s,Acropora,0,0,0,0,0,0
NE,CI,s,Cyphastrea,0,0,0,0,0,0
NE,CI,s,Dipsastraea,6.1,0,7,0,1,0
NE,CI,s,Duncanopsammia,0,0,0,0,0,0
NE,CI,s,Favites,0,0,0,0,0,1
NE,CI,s,Galaxea,0,0,0,0,0,0
NE,CI,s,Goniopora,0,0,0,0,0,0
NE,CI,s,Hydnophora,0,0,0,0,0,0
NE,CI,s,Leptastrea,0,0,2,0,0,0
NE,CI,s,Lithophyllon,0,0,0,0,0,0
NE,CI,s,Montipora,0,0,0,0,0,0
NE,CI,s,Pavona,0,0,1,0,0,0
NE,CI,s,Platygyra,23.6,70.3,19,42,81,27
NE,CI,s,Pleasiatrea,0,0,0,0,0,0
NE,CI,s,Porites,0,0,0,0,0,0
NE,CI,s,Psammocora,0,0,0,0,0,0
NE,CI,s,Stylocoeniella,0,0,0,0,0,0
NE,TPC,s,Acropora,0,1.6,0,0,2,2
NE,TPC,s,Cyphastrea,0,0,0,0,0,0
NE,TPC,s,Dipsastraea,1.6,0,6,2,0,0
NE,TPC,s,Duncanopsammia,0,0,0,0,0,0
NE,TPC,s,Favites,0,0,3,0,0,0
NE,TPC,s,Galaxea,1,0,8,0,0,0
NE,TPC,s,Goniopora,0,0,0,0,1,0
NE,TPC,s,Hydnophora,0,0,0,0,0,2
NE,TPC,s,Leptastrea,0,0,0,0,0,0
NE,TPC,s,Lithophyllon,0,0,4,0,0,0
NE,TPC,s,Montipora,0,0,1,0,1,0
NE,TPC,s,Pavona,45.9,4.6,143,9,3,1
NE,TPC,s,Platygyra,8.5,26.3,19,40,29,72
NE,TPC,s,Pleasiatrea,0,0,0,0,0,0
NE,TPC,s,Porites,6.7,3.8,22,3,5,4
NE,TPC,s,Psammocora,0,0,0,0,0,0
NE,TPC,s,Stylocoeniella,0,0,0,0,0,0
NE,AYT,d,Acropora,0,0,0,0,0,0
NE,AYT,d,Cyphastrea,4.6,0,12,0,0,0
NE,AYT,d,Dipsastraea,10.3,0,40,0,0,0
NE,AYT,d,Duncanopsammia,3.5,0,5,0,0,0
NE,AYT,d,Favites,1.6,0,7,0,0,0
NE,AYT,d,Galaxea,0,0,0,0,0,0
NE,AYT,d,Goniopora,27.8,2.4,49,1,1,0
NE,AYT,d,Hydnophora,4.3,0,5,0,0,0
NE,AYT,d,Leptastrea,18.4,0,51,0,0,0
NE,AYT,d,Lithophyllon,1.5,0,2,0,0,0
