Site,Depth,Species,Status,Number.Observations,Year
Tung Ping Chau,2,Acropora,1,4,2022
Tung Ping Chau,2,Dipsastraea,0,6,2022
Tung Ping Chau,2,Dipsastraea,1,2,2022
Tung Ping Chau,2,Favites,0,3,2022
Tung Ping Chau,2,Galaxea,0,8,2022
Tung Ping Chau,2,Goniopora,1,1,2022
Tung Ping Chau,2,Hydnophora,1,2,2022
Tung Ping Chau,2,Lithophyllon,0,4,2022
Tung Ping Chau,2,Montipora,0,1,2022
Tung Ping Chau,2,Montipora,1,1,2022
Tung Ping Chau,2,Pavona,0,143,2022
Tung Ping Chau,2,Pavona,1,13,2022
Tung Ping Chau,2,Platygyra,0,19,2022
Tung Ping Chau,2,Platygyra,1,141,2022
Tung Ping Chau,2,Porites,0,22,2022
Tung Ping Chau,2,Porites,1,12,2022
Tung Ping Chau,3,Dipsastraea,0,16,2022
Tung Ping Chau,3,Duncanopsammia,0,1,2022
Tung Ping Chau,3,Favites,0,2,2022
Tung Ping Chau,3,Goniopora,0,1,2022
Tung Ping Chau,3,Hydnophora,0,3,2022
Tung Ping Chau,3,Pavona,0,83,2022
Tung Ping Chau,3,Pavona,1,5,2022
Tung Ping Chau,3,Platygyra,0,4,2022
Tung Ping Chau,3,Porites,0,8,2022
Tung Ping Chau,3,Porites,1,2,2022
Sharp Island,2,Acropora,0,3,2022
Sharp Island,2,Acropora,1,23,2022
Sharp Island,2,Dipsastraea,0,1,2022
Sharp Island,2,Goniopora,1,9,2022
Sharp Island,2,Pavona,0,84,2022
Sharp Island,2,Pavona,1,94,2022
Sharp Island,2,Platygyra,1,4,2022
Sharp Island,2,Porites,0,7,2022
Sharp Island,2,Porites,1,53,2022
Bluff Island,2,Dipsastraea,0,18,2022
Bluff Island,2,Dipsastraea,1,15,2022
Bluff Island,2,Favites,0,25,2022
Bluff Island,2,Favites,1,20,2022
Bluff Island,2,Goniopora,0,2,2022
Bluff Island,2,Hydnophora,1,4,2022
Bluff Island,2,Leptastrea,0,7,2022
Bluff Island,2,Montipora,1,7,2022
Bluff Island,2,Pavona,0,40,2022
Bluff Island,2,Pavona,1,7,2022
Bluff Island,2,Platygyra,0,4,2022
Bluff Island,2,Platygyra,1,38,2022
Bluff Island,2,Porites,0,41,2022
Bluff Island,2,Porites,1,78,2022
Sharp Island,3,Acropora,0,11,2022
Sharp Island,3,Dipsastraea,0,9,2022
Sharp Island,3,Goniopora,0,17,2022
Sharp Island,3,Leptastrea,0,4,2022
Sharp Island,3,Montipora,0,10,2022
Sharp Island,3,Pavona,0,66,2022
Sharp Island,3,Platygyra,0,7,2022
Sharp Island,3,Porites,0,8,2022
Sharp Island,3,Stylocoeniella,0,2,2022
Bluff Island,3,Acropora,0,173,2022
Bluff Island,3,Goniopora,0,4,2022
Bluff Island,3,Montipora,0,26,2022
Bluff Island,3,Pavona,0,16,2022
