// DEFI Series
// CSV File
// Firmware Version 1.02
// Software Version 1.04
[Head]
SondeName=DEFI2-L
SondeNo=0AAO032
SensorType=Q2B0
SensorType2=0101
SensorType3=60
Channel=2
Interval=1
SampleCnt=35756
StartTime=2024/08/05 09:30:00
EndTime=2024/08/05 19:25:56
StopTime=2024/08/05 19:25:56
Status=01000
DepAdjRho=1.0250
ImmersionEN=1
Old_ImmersionEN=1
CoefDate=2016/07/06
Immersion_Effect=1.41
Ch1=+9.603087e+03,-1.480245e-01,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=1.169766e-02,8.109043e-04,0.000000e00,0.000000e00,0.000000e00,0.000000e00,0.000000e00,0.000000e00,
[Item]
TimeStamp,PAR [umol/(m^2s)],Batt. [V],
2024/08/05 09:30:00,6.6,1.4,
2024/08/05 09:30:01,11.7,1.4,
2024/08/05 09:30:02,3.5,1.4,
2024/08/05 09:30:03,1.3,1.4,
2024/08/05 09:30:04,7.4,1.5,
2024/08/05 09:30:05,6.4,1.5,
2024/08/05 09:30:06,6.0,1.5,
2024/08/05 09:30:07,3.2,1.5,
2024/08/05 09:30:08,1.6,1.5,
2024/08/05 09:30:09,12.6,1.5,
2024/08/05 09:30:10,33.2,1.5,
2024/08/05 09:30:11,50.4,1.5,
2024/08/05 09:30:12,8.5,1.5,
2024/08/05 09:30:13,31.4,1.5,
2024/08/05 09:30:14,10.3,1.5,
2024/08/05 09:30:15,15.9,1.5,
2024/08/05 09:30:16,11.0,1.5,
2024/08/05 09:30:17,12.9,1.5,
2024/08/05 09:30:18,11.0,1.5,
2024/08/05 09:30:19,10.9,1.5,
2024/08/05 09:30:20,10.8,1.5,
2024/08/05 09:30:21,11.2,1.5,
2024/08/05 09:30:22,11.1,1.5,
2024/08/05 09:30:23,10.7,1.5,
2024/08/05 09:30:24,11.1,1.5,
2024/08/05 09:30:25,10.7,1.5,
2024/08/05 09:30:26,11.0,1.5,
2024/08/05 09:30:27,11.1,1.5,
2024/08/05 09:30:28,10.7,1.5,
2024/08/05 09:30:29,10.7,1.5,
2024/08/05 09:30:30,10.5,1.5,
2024/08/05 09:30:31,10.4,1.5,
2024/08/05 09:30:32,10.7,1.5,
2024/08/05 09:30:33,10.6,1.5,
2024/08/05 09:30:34,11.0,1.5,
2024/08/05 09:30:35,11.0,1.5,
2024/08/05 09:30:36,10.8,1.5,
2024/08/05 09:30:37,9.8,1.5,
2024/08/05 09:30:38,9.4,1.5,
2024/08/05 09:30:39,10.8,1.5,
2024/08/05 09:30:40,10.5,1.5,
2024/08/05 09:30:41,9.8,1.5,
2024/08/05 09:30:42,10.9,1.5,
2024/08/05 09:30:43,9.6,1.5,
2024/08/05 09:30:44,5.8,1.5,
2024/08/05 09:30:45,15.6,1.5,
2024/08/05 09:30:46,14.0,1.5,
2024/08/05 09:30:47,27.9,1.5,
2024/08/05 09:30:48,23.5,1.5,
2024/08/05 09:30:49,10.5,1.5,
2024/08/05 09:30:50,7.1,1.5,
2024/08/05 09:30:51,11.0,1.5,
2024/08/05 09:30:52,13.9,1.5,
2024/08/05 09:30:53,11.6,1.5,
2024/08/05 09:30:54,6.3,1.5,
2024/08/05 09:30:55,4.9,1.5,
2024/08/05 09:30:56,8.3,1.5,
2024/08/05 09:30:57,65.9,1.5,
2024/08/05 09:30:58,10.9,1.5,
2024/08/05 09:30:59,23.3,1.5,
2024/08/05 09:31:00,10.8,1.5,
2024/08/05 09:31:01,12.2,1.5,
2024/08/05 09:31:02,11.9,1.5,
2024/08/05 09:31:03,9.4,1.5,
2024/08/05 09:31:04,3.6,1.5,
2024/08/05 09:31:05,82.0,1.5,
2024/08/05 09:31:06,9.2,1.5,
2024/08/05 09:31:07,13.2,1.5,
2024/08/05 09:31:08,10.6,1.5,
2024/08/05 09:31:09,11.0,1.5,
2024/08/05 09:31:10,25.7,1.5,
2024/08/05 09:31:11,37.1,1.5,
2024/08/05 09:31:12,94.1,1.5,
2024/08/05 09:31:13,78.1,1.5,
2024/08/05 09:31:14,55.9,1.5,
2024/08/05 09:31:15,39.7,1.5,
2024/08/05 09:31:16,40.2,1.5,
2024/08/05 09:31:17,41.4,1.5,
2024/08/05 09:31:18,41.3,1.5,
2024/08/05 09:31:19,39.4,1.5,
2024/08/05 09:31:20,58.0,1.5,
2024/08/05 09:31:21,42.7,1.5,
2024/08/05 09:31:22,39.2,1.5,
2024/08/05 09:31:23,70.8,1.5,
2024/08/05 09:31:24,57.3,1.5,
2024/08/05 09:31:25,48.9,1.5,
2024/08/05 09:31:26,67.6,1.5,
2024/08/05 09:31:27,44.5,1.5,
2024/08/05 09:31:28,43.9,1.5,
2024/08/05 09:31:29,43.7,1.5,
2024/08/05 09:31:30,43.9,1.5,
2024/08/05 09:31:31,46.9,1.5,
2024/08/05 09:31:32,44.6,1.5,
2024/08/05 09:31:33,38.9,1.5,
2024/08/05 09:31:34,30.8,1.5,
2024/08/05 09:31:35,31.8,1.5,
2024/08/05 09:31:36,29.8,1.5,
2024/08/05 09:31:37,38.9,1.5,
2024/08/05 09:31:38,34.1,1.5,
2024/08/05 09:31:39,34.8,1.5,
2024/08/05 09:31:40,36.5,1.5,
2024/08/05 09:31:41,30.0,1.5,
2024/08/05 09:31:42,31.4,1.5,
2024/08/05 09:31:43,34.6,1.5,
2024/08/05 09:31:44,34.3,1.5,
2024/08/05 09:31:45,63.9,1.5,
2024/08/05 09:31:46,75.7,1.5,
2024/08/05 09:31:47,48.0,1.5,
2024/08/05 09:31:48,64.2,1.5,
2024/08/05 09:31:49,35.0,1.5,
2024/08/05 09:31:50,29.8,1.5,
2024/08/05 09:31:51,32.9,1.5,
2024/08/05 09:31:52,31.1,1.5,
2024/08/05 09:31:53,36.1,1.5,
2024/08/05 09:31:54,32.2,1.5,
2024/08/05 09:31:55,27.4,1.5,
2024/08/05 09:31:56,28.3,1.5,
2024/08/05 09:31:57,32.1,1.5,
2024/08/05 09:31:58,32.3,1.5,
2024/08/05 09:31:59,47.5,1.5,
2024/08/05 09:32:00,47.4,1.5,
2024/08/05 09:32:01,51.4,1.5,
2024/08/05 09:32:02,55.9,1.5,
2024/08/05 09:32:03,47.5,1.5,
2024/08/05 09:32:04,53.7,1.5,
2024/08/05 09:32:05,49.6,1.5,
2024/08/05 09:32:06,54.1,1.5,
2024/08/05 09:32:07,59.1,1.5,
2024/08/05 09:32:08,63.3,1.5,
2024/08/05 09:32:09,59.5,1.5,
2024/08/05 09:32:10,60.7,1.5,
2024/08/05 09:32:11,54.6,1.5,
2024/08/05 09:32:12,47.1,1.5,
2024/08/05 09:32:13,65.3,1.5,
2024/08/05 09:32:14,60.6,1.5,
2024/08/05 09:32:15,83.1,1.5,
2024/08/05 09:32:16,4.9,1.5,
2024/08/05 09:32:17,20.9,1.5,
2024/08/05 09:32:18,119.2,1.5,
2024/08/05 09:32:19,14.6,1.5,
2024/08/05 09:32:20,15.8,1.5,
2024/08/05 09:32:21,10.2,1.5,
2024/08/05 09:32:22,34.5,1.5,
2024/08/05 09:32:23,55.1,1.5,
2024/08/05 09:32:24,27.7,1.5,
2024/08/05 09:32:25,33.8,1.5,
2024/08/05 09:32:26,44.3,1.5,
2024/08/05 09:32:27,27.4,1.5,
2024/08/05 09:32:28,22.5,1.5,
2024/08/05 09:32:29,46.8,1.5,
2024/08/05 09:32:30,44.6,1.5,
2024/08/05 09:32:31,20.0,1.5,
2024/08/05 09:32:32,15.8,1.5,
2024/08/05 09:32:33,25.2,1.5,
2024/08/05 09:32:34,6.0,1.5,
2024/08/05 09:32:35,31.3,1.5,
2024/08/05 09:32:36,51.4,1.5,
2024/08/05 09:32:37,71.5,1.5,
2024/08/05 09:32:38,95.9,1.5,
2024/08/05 09:32:39,83.9,1.5,
2024/08/05 09:32:40,115.5,1.5,
2024/08/05 09:32:41,102.4,1.5,
2024/08/05 09:32:42,76.8,1.5,
2024/08/05 09:32:43,6.4,1.5,
2024/08/05 09:32:44,50.0,1.5,
2024/08/05 09:32:45,19.5,1.5,
2024/08/05 09:32:46,6.2,1.5,
2024/08/05 09:32:47,5.9,1.5,
2024/08/05 09:32:48,50.3,1.5,
2024/08/05 09:32:49,159.3,1.5,
2024/08/05 09:32:50,41.0,1.5,
2024/08/05 09:32:51,18.4,1.5,
2024/08/05 09:32:52,14.2,1.5,
2024/08/05 09:32:53,12.9,1.5,
2024/08/05 09:32:54,7.6,1.5,
2024/08/05 09:32:55,17.3,1.5,
2024/08/05 09:32:56,6.5,1.5,
2024/08/05 09:32:57,4.5,1.5,
2024/08/05 09:32:58,17.4,1.5,
2024/08/05 09:32:59,19.7,1.5,
2024/08/05 09:33:00,6.6,1.5,
2024/08/05 09:33:01,5.2,1.5,
2024/08/05 09:33:02,0.3,1.5,
2024/08/05 09:33:03,5.3,1.5,
2024/08/05 09:33:04,24.7,1.5,
2024/08/05 09:33:05,15.8,1.5,
2024/08/05 09:33:06,4.2,1.5,
2024/08/05 09:33:07,8.9,1.5,
2024/08/05 09:33:08,4.2,1.5,
2024/08/05 09:33:09,14.4,1.5,
2024/08/05 09:33:10,4.0,1.5,
2024/08/05 09:33:11,2.1,1.5,
2024/08/05 09:33:12,3.8,1.5,
2024/08/05 09:33:13,1.5,1.5,
2024/08/05 09:33:14,39.3,1.5,
2024/08/05 09:33:15,18.3,1.5,
2024/08/05 09:33:16,98.4,1.5,
2024/08/05 09:33:17,185.1,1.5,
2024/08/05 09:33:18,38.1,1.5,
2024/08/05 09:33:19,5.7,1.5,
2024/08/05 09:33:20,9.7,1.5,
2024/08/05 09:33:21,52.0,1.5,
2024/08/05 09:33:22,25.5,1.5,
2024/08/05 09:33:23,43.7,1.5,
2024/08/05 09:33:24,12.6,1.5,
2024/08/05 09:33:25,5.9,1.5,
2024/08/05 09:33:26,8.3,1.5,
2024/08/05 09:33:27,15.9,1.5,
2024/08/05 09:33:28,35.0,1.5,
2024/08/05 09:33:29,9.6,1.5,
2024/08/05 09:33:30,11.4,1.5,
2024/08/05 09:33:31,17.8,1.5,
2024/08/05 09:33:32,23.0,1.5,
2024/08/05 09:33:33,99.5,1.5,
2024/08/05 09:33:34,101.1,1.5,
2024/08/05 09:33:35,103.5,1.5,
2024/08/05 09:33:36,103.9,1.5,
2024/08/05 09:33:37,80.4,1.5,
2024/08/05 09:33:38,37.3,1.5,
2024/08/05 09:33:39,33.2,1.5,
2024/08/05 09:33:40,33.9,1.5,
2024/08/05 09:33:41,34.7,1.5,
2024/08/05 09:33:42,34.7,1.5,
2024/08/05 09:33:43,36.0,1.5,
2024/08/05 09:33:44,34.7,1.5,
2024/08/05 09:33:45,34.6,1.5,
2024/08/05 09:33:46,33.7,1.5,
2024/08/05 09:33:47,34.1,1.5,
2024/08/05 09:33:48,33.7,1.5,
2024/08/05 09:33:49,33.7,1.5,
2024/08/05 09:33:50,32.1,1.5,
2024/08/05 09:33:51,34.7,1.5,
2024/08/05 09:33:52,35.6,1.5,
2024/08/05 09:33:53,34.0,1.5,
2024/08/05 09:33:54,34.8,1.5,
2024/08/05 09:33:55,34.0,1.5,
2024/08/05 09:33:56,33.3,1.5,
2024/08/05 09:33:57,34.8,1.5,
2024/08/05 09:33:58,37.9,1.5,
2024/08/05 09:33:59,37.1,1.5,
