// DEFI Series
// CSV File
// Firmware Version 1.02
// Software Version 1.04
[Head]
SondeName=DEFI2-T
SondeNo=0AAF045
SensorType=T2B0
SensorType2=0301
SensorType3=60
Channel=2
Interval=1
SampleCnt=35942
StartTime=2024/08/05 09:30:00
EndTime=2024/08/05 19:29:01
StopTime=2024/08/05 19:29:01
Status=01000
DepAdjRho=1.0250
ImmersionEN=1
CoefDate=2016/09/05
Immersion_Effect=0
Ch1=-1.422639e+01,+1.566039e-03,-2.764373e-08,+6.512312e-13,-8.389325e-18,+5.553366e-23,+0.000000e+00,+0.000000e+00,
Ch2=1.169766e-02,8.109043e-04,0.000000e00,0.000000e00,0.000000e00,0.000000e00,0.000000e00,0.000000e00,
[Item]
TimeStamp,Temp. [degC],Batt. [V],
2024/08/05 09:30:00,32.026,1.4,
2024/08/05 09:30:01,32.029,1.4,
2024/08/05 09:30:02,32.030,1.4,
2024/08/05 09:30:03,32.032,1.4,
2024/08/05 09:30:04,32.035,1.4,
2024/08/05 09:30:05,32.040,1.4,
2024/08/05 09:30:06,32.042,1.4,
2024/08/05 09:30:07,32.045,1.4,
2024/08/05 09:30:08,32.051,1.4,
2024/08/05 09:30:09,32.056,1.4,
2024/08/05 09:30:10,32.069,1.4,
2024/08/05 09:30:11,32.082,1.4,
2024/08/05 09:30:12,32.093,1.4,
2024/08/05 09:30:13,32.106,1.4,
2024/08/05 09:30:14,32.118,1.4,
2024/08/05 09:30:15,32.132,1.4,
2024/08/05 09:30:16,32.154,1.4,
2024/08/05 09:30:17,32.176,1.4,
2024/08/05 09:30:18,32.201,1.4,
2024/08/05 09:30:19,32.221,1.4,
2024/08/05 09:30:20,32.242,1.4,
2024/08/05 09:30:21,32.261,1.4,
2024/08/05 09:30:22,32.278,1.4,
2024/08/05 09:30:23,32.296,1.4,
2024/08/05 09:30:24,32.311,1.4,
2024/08/05 09:30:25,32.325,1.4,
2024/08/05 09:30:26,32.339,1.4,
2024/08/05 09:30:27,32.349,1.4,
2024/08/05 09:30:28,32.361,1.4,
2024/08/05 09:30:29,32.373,1.4,
2024/08/05 09:30:30,32.381,1.4,
2024/08/05 09:30:31,32.391,1.4,
2024/08/05 09:30:32,32.400,1.4,
2024/08/05 09:30:33,32.410,1.4,
2024/08/05 09:30:34,32.417,1.4,
2024/08/05 09:30:35,32.428,1.4,
2024/08/05 09:30:36,32.435,1.4,
2024/08/05 09:30:37,32.443,1.4,
2024/08/05 09:30:38,32.450,1.4,
2024/08/05 09:30:39,32.456,1.4,
2024/08/05 09:30:40,32.458,1.4,
2024/08/05 09:30:41,32.462,1.4,
2024/08/05 09:30:42,32.465,1.4,
2024/08/05 09:30:43,32.468,1.4,
2024/08/05 09:30:44,32.475,1.4,
2024/08/05 09:30:45,32.480,1.4,
2024/08/05 09:30:46,32.483,1.4,
2024/08/05 09:30:47,32.488,1.4,
2024/08/05 09:30:48,32.491,1.4,
2024/08/05 09:30:49,32.496,1.4,
2024/08/05 09:30:50,32.499,1.4,
2024/08/05 09:30:51,32.504,1.4,
2024/08/05 09:30:52,32.510,1.4,
2024/08/05 09:30:53,32.514,1.4,
2024/08/05 09:30:54,32.520,1.4,
2024/08/05 09:30:55,32.525,1.4,
2024/08/05 09:30:56,32.531,1.4,
2024/08/05 09:30:57,32.534,1.4,
2024/08/05 09:30:58,32.532,1.4,
2024/08/05 09:30:59,32.529,1.4,
2024/08/05 09:31:00,32.527,1.4,
2024/08/05 09:31:01,32.526,1.4,
2024/08/05 09:31:02,32.527,1.4,
2024/08/05 09:31:03,32.531,1.4,
2024/08/05 09:31:04,32.535,1.4,
2024/08/05 09:31:05,32.538,1.4,
2024/08/05 09:31:06,32.542,1.4,
2024/08/05 09:31:07,32.545,1.4,
2024/08/05 09:31:08,32.546,1.4,
2024/08/05 09:31:09,32.549,1.4,
2024/08/05 09:31:10,32.548,1.4,
2024/08/05 09:31:11,32.550,1.4,
2024/08/05 09:31:12,32.552,1.4,
2024/08/05 09:31:13,32.555,1.4,
2024/08/05 09:31:14,32.557,1.4,
2024/08/05 09:31:15,32.561,1.4,
2024/08/05 09:31:16,32.564,1.4,
2024/08/05 09:31:17,32.567,1.4,
2024/08/05 09:31:18,32.570,1.4,
2024/08/05 09:31:19,32.576,1.4,
2024/08/05 09:31:20,32.577,1.4,
2024/08/05 09:31:21,32.579,1.4,
2024/08/05 09:31:22,32.579,1.4,
2024/08/05 09:31:23,32.576,1.4,
2024/08/05 09:31:24,32.576,1.4,
2024/08/05 09:31:25,32.577,1.4,
2024/08/05 09:31:26,32.576,1.4,
2024/08/05 09:31:27,32.573,1.4,
2024/08/05 09:31:28,32.570,1.4,
2024/08/05 09:31:29,32.569,1.4,
2024/08/05 09:31:30,32.568,1.4,
2024/08/05 09:31:31,32.568,1.4,
2024/08/05 09:31:32,32.564,1.4,
2024/08/05 09:31:33,32.561,1.4,
2024/08/05 09:31:34,32.557,1.4,
2024/08/05 09:31:35,32.552,1.4,
2024/08/05 09:31:36,32.552,1.5,
2024/08/05 09:31:37,32.550,1.4,
2024/08/05 09:31:38,32.551,1.4,
2024/08/05 09:31:39,32.549,1.4,
2024/08/05 09:31:40,32.548,1.4,
2024/08/05 09:31:41,32.546,1.4,
2024/08/05 09:31:42,32.544,1.4,
2024/08/05 09:31:43,32.541,1.4,
2024/08/05 09:31:44,32.541,1.4,
2024/08/05 09:31:45,32.542,1.4,
2024/08/05 09:31:46,32.542,1.4,
2024/08/05 09:31:47,32.543,1.4,
2024/08/05 09:31:48,32.543,1.5,
2024/08/05 09:31:49,32.543,1.4,
2024/08/05 09:31:50,32.544,1.4,
2024/08/05 09:31:51,32.544,1.4,
2024/08/05 09:31:52,32.545,1.5,
2024/08/05 09:31:53,32.545,1.4,
2024/08/05 09:31:54,32.548,1.4,
2024/08/05 09:31:55,32.550,1.4,
2024/08/05 09:31:56,32.552,1.4,
2024/08/05 09:31:57,32.554,1.4,
2024/08/05 09:31:58,32.557,1.4,
2024/08/05 09:31:59,32.561,1.4,
2024/08/05 09:32:00,32.561,1.5,
2024/08/05 09:32:01,32.559,1.4,
2024/08/05 09:32:02,32.555,1.4,
2024/08/05 09:32:03,32.553,1.4,
2024/08/05 09:32:04,32.550,1.4,
2024/08/05 09:32:05,32.549,1.4,
2024/08/05 09:32:06,32.552,1.4,
2024/08/05 09:32:07,32.554,1.4,
2024/08/05 09:32:08,32.554,1.4,
2024/08/05 09:32:09,32.554,1.4,
2024/08/05 09:32:10,32.553,1.4,
