// DEFI Series
// CSV File
// Firmware Version 1.02
// Software Version 1.04
[Head]
SondeName=DEFI2-L
SondeNo=0AAO032
SensorType=Q2B0
SensorType2=0101
SensorType3=60
Channel=2
Interval=1
SampleCnt=40001
StartTime=2024/11/05 08:00:00
EndTime=2024/11/05 19:07:15
StopTime=2024/11/05 19:07:15
Status=01000
DepAdjRho=1.0250
ImmersionEN=1
CoefDate=2016/07/06
Immersion_Effect=1.41
Ch1=+9.603087e+03,-1.480245e-01,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=1.169766e-02,8.109043e-04,0.000000e00,0.000000e00,0.000000e00,0.000000e00,0.000000e00,0.000000e00,
[Item]
TimeStamp,PAR [umol/(m^2s)],Batt. [V],
2024/11/05 08:00:00,186.3,1.5,
2024/11/05 08:00:01,166.5,1.5,
2024/11/05 08:00:02,169.7,1.5,
2024/11/05 08:00:03,164.9,1.5,
2024/11/05 08:00:04,168.5,1.5,
2024/11/05 08:00:05,167.8,1.5,
2024/11/05 08:00:06,177.1,1.5,
2024/11/05 08:00:07,157.8,1.5,
2024/11/05 08:00:08,159.6,1.5,
2024/11/05 08:00:09,158.5,1.5,
2024/11/05 08:00:10,168.0,1.5,
2024/11/05 08:00:11,170.0,1.5,
2024/11/05 08:00:12,181.7,1.5,
2024/11/05 08:00:13,189.7,1.5,
2024/11/05 08:00:14,195.8,1.5,
2024/11/05 08:00:15,188.5,1.5,
2024/11/05 08:00:16,190.9,1.5,
2024/11/05 08:00:17,186.1,1.5,
2024/11/05 08:00:18,181.7,1.5,
2024/11/05 08:00:19,212.0,1.5,
2024/11/05 08:00:20,771.2,1.5,
2024/11/05 08:00:21,130.6,1.5,
2024/11/05 08:00:22,535.8,1.5,
2024/11/05 08:00:23,189.9,1.5,
2024/11/05 08:00:24,195.9,1.5,
2024/11/05 08:00:25,112.2,1.5,
2024/11/05 08:00:26,113.6,1.5,
2024/11/05 08:00:27,115.0,1.5,
2024/11/05 08:00:28,114.1,1.5,
2024/11/05 08:00:29,114.2,1.5,
2024/11/05 08:00:30,115.3,1.5,
2024/11/05 08:00:31,115.4,1.5,
2024/11/05 08:00:32,115.3,1.5,
2024/11/05 08:00:33,115.6,1.5,
2024/11/05 08:00:34,115.5,1.5,
2024/11/05 08:00:35,115.2,1.5,
2024/11/05 08:00:36,115.1,1.5,
2024/11/05 08:00:37,115.2,1.5,
2024/11/05 08:00:38,115.3,1.5,
2024/11/05 08:00:39,115.3,1.5,
2024/11/05 08:00:40,115.2,1.5,
2024/11/05 08:00:41,115.1,1.5,
2024/11/05 08:00:42,115.2,1.5,
2024/11/05 08:00:43,115.1,1.5,
2024/11/05 08:00:44,115.2,1.5,
2024/11/05 08:00:45,115.1,1.5,
2024/11/05 08:00:46,115.1,1.5,
2024/11/05 08:00:47,115.1,1.5,
2024/11/05 08:00:48,114.9,1.5,
2024/11/05 08:00:49,115.1,1.5,
2024/11/05 08:00:50,115.3,1.5,
2024/11/05 08:00:51,115.0,1.5,
2024/11/05 08:00:52,114.8,1.5,
2024/11/05 08:00:53,114.7,1.5,
2024/11/05 08:00:54,114.3,1.5,
2024/11/05 08:00:55,114.4,1.5,
2024/11/05 08:00:56,114.7,1.5,
2024/11/05 08:00:57,114.5,1.5,
2024/11/05 08:00:58,114.7,1.5,
2024/11/05 08:00:59,114.7,1.5,
2024/11/05 08:01:00,114.5,1.5,
2024/11/05 08:01:01,114.1,1.5,
2024/11/05 08:01:02,113.7,1.5,
2024/11/05 08:01:03,114.6,1.5,
2024/11/05 08:01:04,114.4,1.5,
2024/11/05 08:01:05,114.3,1.5,
2024/11/05 08:01:06,114.8,1.5,
2024/11/05 08:01:07,114.9,1.5,
2024/11/05 08:01:08,114.7,1.5,
2024/11/05 08:01:09,114.1,1.5,
2024/11/05 08:01:10,113.4,1.5,
2024/11/05 08:01:11,114.0,1.5,
2024/11/05 08:01:12,114.5,1.5,
2024/11/05 08:01:13,114.8,1.5,
2024/11/05 08:01:14,114.6,1.5,
2024/11/05 08:01:15,114.3,1.5,
2024/11/05 08:01:16,113.6,1.5,
2024/11/05 08:01:17,111.9,1.5,
2024/11/05 08:01:18,110.5,1.5,
2024/11/05 08:01:19,107.2,1.5,
2024/11/05 08:01:20,108.4,1.5,
2024/11/05 08:01:21,108.4,1.5,
2024/11/05 08:01:22,108.6,1.5,
2024/11/05 08:01:23,108.2,1.5,
2024/11/05 08:01:24,107.9,1.5,
2024/11/05 08:01:25,105.8,1.5,
2024/11/05 08:01:26,105.9,1.5,
2024/11/05 08:01:27,108.6,1.5,
2024/11/05 08:01:28,109.6,1.5,
2024/11/05 08:01:29,110.0,1.5,
2024/11/05 08:01:30,61.1,1.5,
2024/11/05 08:01:31,41.3,1.5,
2024/11/05 08:01:32,101.4,1.5,
2024/11/05 08:01:33,216.4,1.5,
2024/11/05 08:01:34,213.1,1.5,
2024/11/05 08:01:35,209.2,1.5,
2024/11/05 08:01:36,181.6,1.5,
2024/11/05 08:01:37,199.7,1.5,
2024/11/05 08:01:38,197.0,1.5,
2024/11/05 08:01:39,185.1,1.5,
2024/11/05 08:01:40,198.2,1.5,
2024/11/05 08:01:41,205.1,1.5,
2024/11/05 08:01:42,176.8,1.5,
2024/11/05 08:01:43,171.3,1.5,
2024/11/05 08:01:44,172.0,1.5,
2024/11/05 08:01:45,233.4,1.5,
2024/11/05 08:01:46,377.2,1.5,
2024/11/05 08:01:47,142.7,1.5,
2024/11/05 08:01:48,54.6,1.5,
2024/11/05 08:01:49,55.5,1.5,
2024/11/05 08:01:50,16.1,1.5,
2024/11/05 08:01:51,16.0,1.5,
2024/11/05 08:01:52,22.9,1.5,
2024/11/05 08:01:53,23.5,1.5,
2024/11/05 08:01:54,22.0,1.5,
2024/11/05 08:01:55,21.0,1.5,
2024/11/05 08:01:56,23.8,1.5,
2024/11/05 08:01:57,23.8,1.5,
2024/11/05 08:01:58,23.7,1.5,
2024/11/05 08:01:59,23.5,1.5,
2024/11/05 08:02:00,24.1,1.5,
2024/11/05 08:02:01,23.3,1.5,
2024/11/05 08:02:02,20.8,1.5,
2024/11/05 08:02:03,22.7,1.5,
2024/11/05 08:02:04,23.8,1.5,
2024/11/05 08:02:05,25.0,1.5,
2024/11/05 08:02:06,23.5,1.5,
2024/11/05 08:02:07,21.6,1.5,
2024/11/05 08:02:08,21.3,1.5,
2024/11/05 08:02:09,20.7,1.5,
2024/11/05 08:02:10,23.5,1.5,
2024/11/05 08:02:11,22.2,1.5,
2024/11/05 08:02:12,22.8,1.5,
